dateStamp,park_sv_id,play_guid,ab_total,ab_count,pitcher_id,batter_id,ab_id,des,type,id,sz_top,sz_bot,pfx_xDataFile,pfx_zDataFile,mlbam_pitch_name,zone_location,pitch_con,stand,strikes,balls,p_throws,gid,pdes,spin,norm_ht,inning,pitcher_team,tstart,vystart,ftime,pfx_x,pfx_z,uncorrected_pfx_x,uncorrected_pfx_z,x0,y0,z0,vx0,vy0,vz0,ax,ay,az,start_speed,px,pz,pxold,pzold,tm_spin,sb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2019,190331_184244mil,d05281ee-d168-4a75-a59c-2423c48a78e3,5,1,608379,519058,14,Strikeout,S,30,3.37,1.53,0.56,6.66,FC,23,0,L,0,0,R,gid_2019_03_31_slnmlb_milmlb_1/,Called Strike,175.285,-0.75,2,sln,0.077888877,-127.3920718,0.312684604,1.086438703,7.176244914,0.56,6.66,-1.020227107,55,6.708481357,2.645701309,-130.3685542,-7.44711548,1.851999998,25.57399908,-19.94599916,89.05,0.28543764,1.677125814,0.39,1.76,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2019,190331_184256mil,d75f2620-f579-412b-ad34-eb53dd485169,5,2,608379,519058,14,Strikeout,B,30,3.37,1.53,-9.81,4.03,CH,22,0,L,1,0,R,gid_2019_03_31_slnmlb_milmlb_1/,Ball,247.638,-2.13043,2,sln,0.081359951,-121.8071918,0.328793878,-9.16387974,4.620209348,-9.81,4.03,-1.105689062,55,6.876790318,4.984123503,-125.1028056,-8.70920638,-14.12799996,27.12400023,-25.05599977,85.57,-0.293696088,0.41487719,-0.19,0.49,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2019,190331_184309mil,d2736691-152a-44eb-ba19-f36547294c70,5,3,608379,519058,14,Strikeout,S,30,3.37,1.53,5.13,-10.41,CU,11,0,L,1,1,R,gid_2019_03_31_slnmlb_milmlb_1/,Called Strike,26.1972,0.347826,2,sln,0.093295038,-106.1496762,0.378482886,5.889265065,-9.555014082,5.13,-10.41,-0.954210766,55,6.681101428,-1.088077369,-109.2463903,3.515891633,6.852000057,22.23400084,-43.29599954,74.53,-0.599152764,2.69823477,-0.49,2.77,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2019,190331_184326mil,ab855cf1-cb10-43b3-bfcd-3c9bb213480e,5,4,608379,519058,14,Strikeout,B,30,3.37,1.53,-5.72,10.32,FF,1,0,L,2,1,R,gid_2019_03_31_slnmlb_milmlb_1/,Ball,208.992,2.25,2,sln,0.075060398,-132.0680883,0.302861801,-5.194218825,10.78303909,-5.72,10.32,-0.761910728,55,6.723032799,2.466670704,-135.5271189,-2.898698289,-9.438000381,30.85399977,-12.58600046,92.44,-0.550926834,4.436515123,-0.45,4.52,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2019,190331_184344mil,ede6384b-7039-45b8-b8c0-cded26ad1f3b,5,5,608379,519058,14,Strikeout,S,30,3.37,1.53,-8.4,6.74,CH,22,0,L,2,2,R,gid_2019_03_31_slnmlb_milmlb_1/,Swinging Strike,231.267,-1.67391,2,sln,0.080661804,-122.8748332,0.325779736,-7.7803567,7.299576934,-8.4,6.74,-0.897862231,55,6.834893656,4.033321175,-126.1592035,-8.83042762,-12.21800011,27.26399962,-20.71599962,86.27,-0.314522235,0.831772637,-0.21,0.91,0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2019,190331_184419mil,24cbcae2-fa01-423e-97aa-32c5e2497b77,5,1,608379,541650,15,Single,B,32,3.41,1.56,-4.93,9.43,FF,2,0,R,0,0,R,gid_2019_03_31_slnmlb_milmlb_1/,Ball,207.564,1.61622,2,sln,0.074496812,-133.0738676,0.300506399,-4.409368495,9.889924154,-4.93,9.43,-0.69168129,55,6.778030061,2.996264551,-136.5392773,-4.12288926,-8.138000191,31.14400069,-13.92599966,93.16,-0.147828352,3.899697934,-0.05,3.98,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2019,190331_184430mil,fb9174a6-192a-40c0-a73b-02dd2af11910,5,2,608379,541650,15,Single,S,32,3.41,1.56,1.39,6.9,FC,7,0,R,0,1,R,gid_2019_03_31_slnmlb_milmlb_1/,Swinging Strike,168.628,0.956757,2,sln,0.078702,-126.0591474,0.316173792,1.932540099,7.427264232,1.39,6.9,-1.068619188,55,6.700626904,1.521688256,-129.0547506,-3.565083383,3.221999943,25.47400061,-19.79599954,88.03,-0.10544963,3.291883222,0,3.37,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2019,190331_184444mil,3d4a673f-a2b9-4e4c-bd1a-c8e212e72ecb,5,3,608379,541650,15,Single,S,32,3.41,1.56,-5.29,10.82,FF,16,0,R,1,1,R,gid_2019_03_31_slnmlb_milmlb_1/,Called Strike,205.997,-0.405405,2,sln,0.074485487,-133.1346756,0.299966247,-4.766047234,11.27428287,-5.29,10.82,-0.91813395,55,6.827822395,2.911733294,-136.4798955,-9.329483021,-8.827999771,30.06400076,-11.29599954,93.29,-0.46719641,2.036076138,-0.36,2.11,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2019,190331_184459mil,3e32d13d-e113-43f9-b1b6-0468a9773ffc,5,4,608379,541650,15,Single,S,32,3.41,1.56,-6.69,10.09,FF,11,0,R,2,1,R,gid_2019_03_31_slnmlb_milmlb_1/,Foul,213.532,0.308108,2,sln,0.073272228,-135.3107155,0.295415251,-6.182917174,10.53158963,-6.69,10.09,-0.905181641,55,6.79229727,3.204145371,-138.7959283,-7.668521764,-11.80800027,31.84399954,-12.066,94.8,-0.575684083,2.698752591,-0.47,2.77,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2019,190331_184529mil,8b18d884-26ce-426a-bb49-d030ebb5459d,5,5,608379,541650,15,Single,X,32,3.41,1.56,-8.35,6.18,CH,22,0,R,2,1,R,gid_2019_03_31_slnmlb_milmlb_1/,"In play, no out",233.459,-1.23784,2,sln,0.080416112,-123.2223775,0.325187233,-7.726702622,6.74643057,-8.35,6.18,-0.83466114,55,6.797038339,4.720093744,-126.5996617,-7.640283605,-12.17800015,28.12400023,-21.54599954,86.53,0.059817277,1.259140015,0.16,1.34,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2019,190331_184612mil,83a8b287-4cc5-479e-beca-ac53b7cc3d53,1,1,608379,444489,16,Grounded Into DP,X,34,3.37,1.53,1.96,7.2,FC,19,0,R,0,0,R,gid_2019_03_31_slnmlb_milmlb_1/,"In play, out(s)",164.853,-0.23913,2,sln,0.076732001,-129.2934419,0.308286668,2.464594694,7.700004624,1.96,7.2,-1.073555705,55,6.654736654,3.783118137,-132.3722558,-6.706841351,4.322000086,26.85399977,-18.67600061,90.41,0.912998615,2.147867429,1.03,2.23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2019,190331_190040mil,e109c532-2619-4aaf-9a0d-f38fbdbb3c64,2,1,608379,669203,21,Groundout,S,31,3.49,1.6,-4.53,9.99,FF,17,0,R,0,0,R,gid_2019_03_31_slnmlb_milmlb_1/,Called Strike,204.348,-0.52381,3,sln,0.075557756,-131.3141726,0.303427996,-4.003876971,10.46432709,-4.53,9.99,-1.041685211,55,6.784496958,4.277658997,-134.4069639,-8.79073415,-7.247999847,27.39400069,-13.23600008,91.88,0.111076685,1.977611144,0.22,2.05,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2019,190331_190056mil,2ba3dce6-8bed-44e6-bdb3-0621a5970b34,2,2,608379,669203,21,Groundout,X,31,3.49,1.6,0.77,5.77,FC,18,0,R,1,0,R,gid_2019_03_31_slnmlb_milmlb_1/,"In play, out(s)",172.489,-0.481481,3,sln,0.077937972,-127.3503177,0.312377045,1.295074008,6.289773633,0.77,5.77,-1.093963459,55,6.784153045,3.251750772,-130.2103047,-6.5188683,2.211999952,24.55400053,-21.43600084,88.92,0.503963991,2.017337443,0.62,2.09,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2019,190331_190137mil,86ce5607-a5c1-4964-9861-89929e250182,3,1,608379,456715,22,Double,B,33,3.47,1.59,5.61,-7.33,CU,24,0,R,0,0,R,gid_2019_03_31_slnmlb_milmlb_1/,Ball,37.4368,-1.04255,3,sln,0.089654576,-110.5044105,0.362912951,6.307654804,-6.548677507,5.61,-7.33,-0.880891309,55,6.608749085,3.304077741,-113.5946509,-0.275804107,7.982000172,23.08399931,-40.46600153,77.48,1.745441956,1.47844463,1.85,1.55,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2019,190331_190148mil,a15dfa48-d0f0-406d-a13c-9947c5c91cec,3,2,608379,456715,22,Double,S,33,3.47,1.59,-6.95,9.11,FF,1,0,R,0,1,R,gid_2019_03_31_slnmlb_milmlb_1/,Foul,217.299,1.1383,3,sln,0.07375834,-134.461777,0.296864229,-6.43407605,9.567039428,-6.95,9.11,-1.154496793,55,6.596912181,4.270293774,-137.796551,-4.681831248,-12.16799992,30.26399962,-14.08600046,94.05,-0.424330566,3.524209329,-0.32,3.6,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2019,190331_190209mil,d1280f51-e6b0-476e-aa43-70332b14bc28,3,3,608379,456715,22,Double,X,33,3.47,1.59,-7.62,10.79,FF,10,0,R,1,1,R,gid_2019_03_31_slnmlb_milmlb_1/,"In play, no out",215.213,0.0957447,3,sln,0.074208309,-133.5775943,0.299508179,-7.092806804,11.23987601,-7.62,10.79,-0.987992946,55,6.679206162,2.179655725,-137.0970229,-7.77127403,-13.17800015,31.75399939,-11.29599954,93.64,-1.203040654,2.539341537,-1.1,2.62,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2019,190331_190347mil,a6e95f13-bbce-4251-b5a7-5ec6cded4f02,4,1,608379,460075,24,Strikeout,S,37,3.47,1.59,-5.52,10.39,FF,12,0,R,0,0,R,gid_2019_03_31_slnmlb_milmlb_1/,Called Strike,207.974,0.212766,3,sln,0.072576199,-136.648441,0.29214646,-5.032892384,10.82215299,-5.52,10.39,-0.810818009,55,6.542906785,3.909293621,-140.0479076,-7.499046086,-9.827999771,31.35399977,-11.04599954,95.66,-0.033354514,2.65286196,0.07,2.73,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2019,190331_190450mil,2de0d4e8-2782-486b-8687-1deee5791d57,4,2,608379,460075,24,Strikeout,S,38,3.47,1.59,-4.43,11.65,FF,16,0,R,1,0,R,gid_2019_03_31_slnmlb_milmlb_1/,Foul,200.776,-0.308511,3,sln,0.072291103,-137.1652168,0.291252077,-3.9434734,12.07421528,-4.43,11.65,-1.190704272,55,6.511266433,3.323578123,-140.643936,-9.2131485,-7.747999847,32.21400038,-8.456000343,96.13,-0.481286404,2.159131536,-0.38,2.24,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2019,190331_190517mil,f4efcdc6-7618-4545-8fbe-f520e4e66adc,4,3,608379,460075,24,Strikeout,B,38,3.47,1.59,-9.04,6.58,CH,20,0,R,2,0,R,gid_2019_03_31_slnmlb_milmlb_1/,Ball,233.931,-0.893617,3,sln,0.078768733,-125.8738497,0.317505474,-8.442612853,7.114948602,-9.04,6.58,-0.978161866,55,6.6278211,1.329828671,-129.1005268,-7.081018661,-13.95799989,27.42399947,-20.41600038,88.16,-1.721053708,1.613390853,-1.62,1.69,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2019,190331_190543mil,5cbbe9e2-af58-4856-8ba8-5474647047c9,4,4,608379,460075,24,Strikeout,S,38,3.47,1.59,-9.14,5.53,CH,16,0,R,2,1,R,gid_2019_03_31_slnmlb_milmlb_1/,Swinging Strike,238.78,-0.585106,3,sln,0.078798652,-125.8374515,0.317470765,-8.537523197,6.073264605,-9.14,5.53,-1.186751903,55,6.541134795,3.866332167,-129.0290053,-5.843686987,-14.11799973,27.114,-22.13599969,88.1,-0.8410387,1.902055458,-0.74,1.98,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
