dateStamp,park_sv_id,play_guid,ab_total,ab_count,pitcher_id,batter_id,ab_id,des,type,id,sz_top,sz_bot,pfx_xDataFile,pfx_zDataFile,mlbam_pitch_name,zone_location,pitch_con,stand,strikes,balls,p_throws,gid,pdes,spin,norm_ht,inning,pitcher_team,tstart,vystart,ftime,pfx_x,pfx_z,uncorrected_pfx_x,uncorrected_pfx_z,x0,y0,z0,vx0,vy0,vz0,ax,ay,az,start_speed,px,pz,pxold,pzold,tm_spin,sb
6/2/2019,190602_202958oak,64f0e8bc-a583-4e91-bc3c-ea9a6e6f3099,7,3,543037,501981,9,Walk,S,43,3.49,1.63,-8.91,10.53,FF,5,0,R,1,1,R,gid_2019_06_02_houmlb_oakmlb_1/,Swinging Strike,220.201,0.55914,1,hou,0.072579959,-136.6851553,0.291658819,-8.27494042,10.60588778,-8.91,10.53,-2.014167045,55,5.864179215,6.45747136,-139.9541055,-4.652180523,-16.21300061,30.14399924,-11.39899962,95.58,-0.728221424,3.090459445,-0.67,3.08,0,11
6/2/2019,190602_203023oak,f0f9e425-e3e2-4ef1-bf36-48ba47bbb878,7,4,543037,501981,9,Walk,B,43,3.49,1.63,-7.15,9.57,FF,1,0,R,2,1,R,gid_2019_06_02_houmlb_oakmlb_1/,Ball,216.736,1.67742,1,hou,0.071871043,-138.0731808,0.288364683,-6.537416145,9.644222818,-7.15,9.57,-1.843237085,55,5.930037869,6.431538743,-141.2558787,-2.024485699,-13.103,29.63400092,-12.84900038,96.42,-0.324023513,4.122567285,-0.26,4.12,0,12
6/2/2019,190602_203042oak,561d11df-50a9-45a5-a750-3b2ee532281e,7,5,543037,501981,9,Walk,B,43,3.49,1.63,4.98,-7.69,KC,23,0,R,2,2,R,gid_2019_06_02_houmlb_oakmlb_1/,Ball In Dirt,32.8993,-3.01075,1,hou,0.085449425,-116.0035792,0.344902036,5.772051692,-7.465766878,4.98,-7.69,-1.888184961,55,5.906542061,3.03494533,-119.0644799,-2.812777326,8.087000057,23.98399939,-42.63899939,81.23,0.448711143,-0.18270168,0.51,-0.24,0,22
6/2/2019,190602_203122oak,d973ef8b-ae9d-4029-a827-7660ea144ca2,7,6,543037,501981,9,Walk,S,43,3.49,1.63,-7.28,10.98,FF,17,0,R,2,3,R,gid_2019_06_02_houmlb_oakmlb_1/,Foul,213.52,-0.752688,1,hou,0.071390593,-139.0359578,0.286068362,-6.679217801,11.04773936,-7.28,10.98,-1.82610838,55,5.945385951,7.126241711,-142.1401335,-8.479291877,-13.603,29.094,-9.679000305,97.21,-0.076406995,1.868509622,-0.01,1.86,0,32
6/2/2019,190602_203148oak,35ec798d-3155-4179-ad93-00c1ef0b89fe,7,7,543037,501981,9,Walk,B,43,3.49,1.63,1.43,2.82,SL,24,0,R,2,3,R,gid_2019_06_02_houmlb_oakmlb_1/,Ball In Dirt,153.152,-2.80645,1,hou,0.078108806,-127.1300837,0.31229979,2.093213773,2.955194608,1.43,2.82,-2.009514228,55,5.777189045,6.56774928,-129.8101622,-7.682468234,3.577000067,22.95400061,-27.12899916,88.77,1.137658657,-0.016089645,1.21,-0.05,0,32
6/2/2019,190602_203228oak,fe1ace6d-80d4-4250-8616-16a05d3520d6,5,1,543037,572039,10,Strikeout,B,46,3.43,1.62,2.25,0.67,SL,24,0,R,0,0,R,gid_2019_06_02_houmlb_oakmlb_1/,Ball,106.708,-1.36464,1,hou,0.078397307,-126.6278046,0.31390596,2.912949344,0.821797634,2.25,0.67,-2.067925964,55,5.886592934,5.704944712,-129.4006217,-3.957089145,4.926999971,23.66399969,-30.78900092,88.35,0.849135341,1.320051896,0.92,1.29,0,0
6/2/2019,190602_203248oak,c9dd5417-5e6b-4ada-ab93-68556ae014a1,5,2,543037,572039,10,Strikeout,B,46,3.43,1.62,2.13,-0.01,SL,1,0,R,0,1,R,gid_2019_06_02_houmlb_oakmlb_1/,Ball,89.7357,1.58564,1,hou,0.079765089,-124.5232582,0.318475818,2.809726522,0.146055495,2.13,-0.01,-2.086778695,55,5.890653552,3.043699037,-127.0494464,2.640102838,4.617000029,21.18400015,-31.93899863,86.67,-0.312170699,3.986510635,-0.25,3.96,0,10
6/2/2019,190602_203313oak,f6eb11b1-9278-4571-83f7-40cb409404cb,5,3,543037,572039,10,Strikeout,S,46,3.43,1.62,-6.78,11.76,FF,12,0,R,0,2,R,gid_2019_06_02_houmlb_oakmlb_1/,Foul,209.94,0.18232,1,hou,0.071324695,-139.0047828,0.287570166,-6.178924797,11.82892168,-6.78,11.76,-2.065518111,55,5.738464661,7.674501417,-142.5869896,-6.057363003,-12.45300038,33.62399878,-8.339000153,97.45,-0.008051536,2.703628006,0.05,2.69,0,20
6/2/2019,190602_203343oak,890318f7-8891-462d-8efc-7a56e765a99a,5,4,543037,572039,10,Strikeout,S,46,3.43,1.62,-8.28,10.37,FF,11,0,R,1,2,R,gid_2019_06_02_houmlb_oakmlb_1/,Swinging Strike,218.575,0.0165746,1,hou,0.071325322,-139.1023267,0.286475431,-7.668285592,10.43907181,-8.28,10.37,-2.20408366,55,5.681407785,7.964937189,-142.3905801,-5.803997743,-15.57299931,30.85400023,-10.97899954,97.32,-0.276392833,2.552108329,-0.22,2.54,0,21
6/2/2019,190602_203409oak,ec2188ef-2382-4c29-b093-76f096528be9,5,5,543037,572039,10,Strikeout,S,46,3.43,1.62,0.84,2.11,SL,24,0,R,2,2,R,gid_2019_06_02_houmlb_oakmlb_1/,Swinging Strike,158.336,-1.85083,1,hou,0.077294356,-128.4181065,0.309702763,1.494560042,2.244429354,0.84,2.11,-1.974069414,55,5.814335512,7.826730836,-131.2799684,-5.590051828,2.597000048,24.77400031,-28.27900069,89.75,1.588786479,0.880763432,1.66,0.85,0,22
6/2/2019,190602_204137oak,9ce4abbb-7247-48cf-b92a-2c2fb28fc35c,3,1,543037,543257,14,Home Run,S,15,3.22,1.56,-7.81,11.36,FF,6,0,L,0,0,R,gid_2019_06_02_houmlb_oakmlb_1/,Foul,214.47,0.710843,2,hou,0.072589694,-136.5482101,0.293067512,-7.169805989,11.42489703,-7.81,11.36,-1.999235859,55,5.937810063,6.564418963,-140.1696605,-5.342437829,-13.91300042,33.40400137,-10.00900023,95.74,-0.485046117,2.986285361,-0.42,2.98,0,0
6/2/2019,190602_204152oak,ed75254e-99ab-4e21-b3b9-597831fe2660,3,2,543037,543257,14,Home Run,S,15,3.22,1.56,-5.53,11.29,FF,16,0,L,1,0,R,gid_2019_06_02_houmlb_oakmlb_1/,Called Strike,206.06,-0.192771,2,hou,0.072191171,-137.3391796,0.291031526,-4.915780678,11.35818278,-5.53,11.29,-1.994631322,55,5.903597905,6.390758664,-140.8700474,-7.220681164,-9.672999695,32.74399962,-9.828999924,96.27,-0.215045071,2.241696718,-0.15,2.23,0,1
6/2/2019,190602_204231oak,701da0a4-517e-4eb9-9405-885163af2951,3,3,543037,543257,14,Home Run,X,15,3.22,1.56,0.56,2.14,SL,12,0,L,2,0,R,gid_2019_06_02_houmlb_oakmlb_1/,"In play, run(s)",165.356,0.060241,2,hou,0.077471538,-128.0863224,0.310905453,1.222003526,2.273494822,0.56,2.14,-2.246991165,55,5.766161185,5.025311542,-131.0550493,-1.708810562,2.106999979,25.64399924,-28.25900023,89.43,0.088942979,2.464831252,0.16,2.44,0,2
